t,x,y,z,vx,vy,vz,energy,h_mag
35491.8148628,-6464181.23797,-14813863.0853,0,5409.1942433,1947.921085,0,-8134702.88875,67539347991.2
35602.8370824,-5859896.16325,-14588785.3108,0,5476.47680624,2108.53504063,0,-8134702.8888,67539347991.1
35711.1775268,-5263068.89742,-14351362.4905,0,5540.90196385,2276.26596765,0,-8134702.88885,67539347991.1
35816.7734727,-4674730.07609,-14101864.3811,0,5601.97094016,2451.24024007,0,-8134702.88891,67539347991
35919.5645344,-4095936.81738,-13840635.5478,0,5659.14378839,2633.53639904,0,-8134702.88897,67539347990.9
36019.4807872,-3527836.93767,-13568136.3913,0,5711.83538161,2823.1501873,0,-8134702.88905,67539347990.8
36116.42504,-2971769.16343,-13285016.1741,0,5759.4135021,3019.93628868,0,-8134702.88913,67539347990.7
36210.2465261,-2429415.30422,-12992236.789,0,5801.20274871,3223.51298609,0,-8134702.88921,67539347990.6
36300.7037606,-1903016.81154,-12691269.6151,0,5836.50194493,3433.11302468,0,-8134702.88931,67539347990.5
36387.4180811,-1395644.22849,-12384378.0862,0,5864.62873064,3647.37046946,0,-8134702.8894,67539347990.3
36469.8263565,-911463.6979,-12074967.0232,0,5885.00942618,3864.05599069,0,-8134702.8895,67539347990.2
36547.1361791,-455972.097455,-11767979.2101,0,5897.32618033,4079.77572617,0,-8134702.88958,67539347990.1
36618.216034,-36592.0399277,-11470603.8301,0,5901.7213721,4289.45161538,0,-8134702.88963,67539347990.1
36681.0082525,333942.994995,-11195192.1105,0,5899.12752874,4484.24444845,0,-8134702.88966,67539347990
36739.5779262,679228.756624,-10927022.7811,0,5890.38238212,4674.42740062,0,-8134702.88968,67539347990
36800.6929578,1038754.34028,-10635050.7709,0,5873.79999777,4881.98855022,0,-8134702.88972,67539347989.9
36860.3265381,1388341.6356,-10337650.4138,0,5849.23764054,5093.82841621,0,-8134702.88977,67539347989.9
36920.277903,1738036.54103,-10025646.353,0,5815.01782254,5316.36449891,0,-8134702.88984,67539347989.8
