t,x,y,z,vx,vy,vz,energy,h_mag
4433.34916977,2025729.17443,-6468207.27691,0,7318.13588447,2291.91191789,0,-29403986.5457,51978012618.7
4469.10376081,2285657.51898,-6380991.59786,0,7219.45998194,2585.99509496,0,-29403986.5456,51978012618.7
4505.84349452,2548847.83213,-6280498.29198,0,7105.76175974,2883.76886642,0,-29403986.5455,51978012618.8
4543.53064223,2814245.89656,-6166141.75163,0,6976.37866087,3184.04048979,0,-29403986.5454,51978012618.9
4582.14593741,3080869.68846,-6037344.28626,0,6830.65708565,3485.6989024,0,-29403986.5453,51978012619
4621.65122723,3347550.02817,-5893657.00371,0,6668.08915709,3787.42129328,0,-29403986.5452,51978012619.1
4662.0068698,3613062.86692,-5734724.12488,0,6488.27234636,4087.82277246,0,-29403986.5451,51978012619.2
4703.16029587,3876065.31097,-5560341.87564,0,6290.97610323,4385.3839887,0,-29403986.5449,51978012619.3
4745.04840308,4135131.70437,-5370472.03293,0,6076.15718206,4678.4919535,0,-29403986.5448,51978012619.5
4787.59274189,4388748.4598,-5165285.18334,0,5844.00858473,4965.43419274,0,-29403986.5446,51978012619.7
4830.69907579,4635343.96132,-4945186.59188,0,5594.98882841,5244.43257862,0,-29403986.5444,51978012619.8
4874.25663333,4873321.76422,-4710840.58848,0,5329.84953663,5513.68089208,0,-29403986.5441,51978012620
4918.14043551,5101114.26557,-4463173.45804,0,5049.63870902,5771.40554568,0,-29403986.5439,51978012620.2
4962.21529619,5317243.1271,-4203356.94338,0,4755.68205649,6015.93394606,0,-29403986.5437,51978012620.4
5006.34141727,5520380.69055,-3932770.15557,0,4449.53990665,6245.76397942,0,-29403986.5435,51978012620.6
5050.37995092,5709399.93152,-3652949.01226,0,4132.94999816,6459.62052925,0,-29403986.5432,51978012620.8
5094.19750757,5883406.96352,-3365532.13694,0,3807.76627122,6656.49225154,0,-29403986.543,51978012621
5137.66884144,6041754.31637,-3072212.36941,0,3475.90400638,6835.64659788,0,-29403986.5428,51978012621.2
5180.67764855,6184038.34355,-2774698.87133,0,3139.29695079,6996.62688224,0,-29403986.5426,51978012621.4
5223.11570179,6310085.87716,-2474691.95719,0,2799.86884187,7139.23718225,0,-29403986.5424,51978012621.6
