t,x,y,z,vx,vy,vz,energy,h_mag
3797.47807412,-2750964.43975,-3849647.56494,-4857046.43153,7009.17650003,-1927.74275604,-2432.20604384,-29403986.5492,51977986626.6
3838.95731499,-2457310.45317,-3925346.07833,-4952554.18598,7147.31273458,-1721.5305448,-2172.03098423,-29403986.549,51977986626.7
3879.841091,-2162579.7628,-3991509.43481,-5036031.56645,7268.09961977,-1514.54428064,-1910.87931286,-29403986.5489,51977986626.8
3920.02095906,-1868416.8204,-4048222.78212,-5107586.00268,7371.68821396,-1307.93879586,-1650.20806553,-29403986.5488,51977986626.9
3959.38834653,-1576457.01901,-4095684.19304,-5167467.4003,7458.43515332,-1102.8629601,-1391.46675493,-29403986.5487,51977986627
3997.82910962,-1288349.63744,-4134195.27766,-5216056.29655,7528.88561543,-900.475791463,-1136.117698,-29403986.5485,51977986627.1
4035.21564246,-1005802.80366,-4164154.91627,-5253855.9531,7583.76193275,-701.978040024,-885.675864295,-29403986.5485,51977986627.2
4071.39460559,-730664.586264,-4186058.02466,-5281490.79828,7623.96132207,-508.669164924,-641.780763212,-29403986.5484,51977986627.3
4106.16550626,-465075.773814,-4200502.4592,-5299715.1391,7650.56835183,-322.054704106,-406.331910895,-29403986.5483,51977986627.3
4139.23680245,-211795.119908,-4208211.16815,-5309441.10925,7664.89498082,-144.074877275,-181.777255382,-29403986.5483,51977986627.4
4170.11195262,24940.7403681,-4210091.45223,-5311813.43734,7668.58759001,22.2909816182,28.1242193987,-29403986.5483,51977986627.4
4197.63181054,235932.993422,-4207437.44261,-5308464.91056,7663.99194407,170.575344345,215.212523636,-29403986.5482,51977986627.4
4225.6710316,450670.583316,-4200538.17322,-5299760.19898,7651.66711304,321.501391969,405.63380472,-29403986.5482,51977986627.4
4254.85206213,673667.88765,-4188868.47047,-5285036.6984,7630.66074166,478.242815664,603.392264367,-29403986.5482,51977986627.4
4284.75194267,901394.643232,-4172174.38343,-5263974.00253,7600.50531097,638.319144411,805.358327025,-29403986.5482,51977986627.5
4315.63037676,1135488.31822,-4149921.14257,-5235897.40012,7560.22743209,802.882195554,1012.98522451,-29403986.5482,51977986627.5
4347.41140588,1374973.96441,-4121726.3172,-5200324.38373,7509.12813432,971.247457103,1225.40931763,-29403986.5481,51977986627.5
4380.16979044,1619959.64651,-4087084.68046,-5156617.51569,7446.28579103,1143.49171485,1442.72748594,-29403986.5481,51977986627.5
4413.88367735,1869762.7277,-4045567.32425,-5104235.64866,7370.91677367,1319.13580863,1664.33517976,-29403986.548,51977986627.6
4448.56255261,2123871.93371,-3996716.66358,-5042601.45408,7282.18524749,1497.82095647,1889.77972891,-29403986.548,51977986627.6
4484.18519317,2381485.86889,-3940125.96167,-4971201.75784,7179.347571,1678.98424972,2118.35091944,-29403986.5479,51977986627.7
4520.73314389,2641763.51945,-3875408.29986,-4889548.39009,7061.69606303,1862.03475337,2349.30317689,-29403986.5478,51977986627.8
4558.17450273,2903711.04849,-3802231.21715,-4797221.88943,6928.62203347,2046.27386489,2581.75508426,-29403986.5477,51977986627.8
4596.4717432,3166246.04209,-3720315.69915,-4693870.22732,6779.61405759,2230.94046095,2814.74634288,-29403986.5476,51977986627.9
4635.57625597,3428170.11142,-3629458.56082,-4579237.04803,6614.29879113,2415.19159696,3047.21342138,-29403986.5475,51977986628
4675.42884103,3688187.91649,-3529545.04517,-4453177.56428,6432.46401693,2598.11585939,3278.00640206,-29403986.5474,51977986628.1
4715.95692161,3944908.73349,-3420569.27637,-4315684.36262,6234.09599748,2778.73444562,3505.89034336,-29403986.5473,51977986628.3
4757.0739563,4196868.22031,-3302650.06324,-4166907.34247,6019.4083823,2956.01646081,3729.5645797,-29403986.5471,51977986628.4
4798.67924638,4442557.12089,-3176044.36629,-4007170.7073,5788.86686634,3128.89910954,3947.68819697,-29403986.5469,51977986628.6
4840.65988922,4680465.69665,-3041151.62364,-3836978.42261,5543.19719697,3296.31896952,4158.91949017,-29403986.5468,51977986628.7
4882.89427674,4909136.21581,-2898508.07804,-3657007.05837,5283.37494831,3457.24895475,4361.96259926,-29403986.5466,51977986628.9
4925.25688534,5127217.87127,-2748770.23919,-3468084.92365,5010.59546954,3610.73700699,4555.61632569,-29403986.5464,51977986629
4967.6232144,5333514.33227,-2592690.80839,-3271161.69117,4726.23005711,3755.9396193,4738.81642857,-29403986.5462,51977986629.2
5009.87398396,5527017.76023,-2431091.25353,-3067273.79545,4431.77597853,3892.14584291,4910.6659138,-29403986.546,51977986629.4
5051.89794801,5706926.66767,-2264835.44933,-2857511.17514,4128.80839795,4018.78992506,5070.45097904,-29403986.5459,51977986629.5
5093.59319944,5872649.23194,-2094807.24605,-2642988.97172,3818.9394315,4135.45370511,5217.64403685,-29403986.5457,51977986629.7
5134.86713701,6023795.71933,-1921893.37541,-2424825.9622,3503.78691116,4241.8613372,5351.89705638,-29403986.5455,51977986629.8
5175.63541025,6160164.2214,-1746971.89606,-2204129.98089,3184.95323653,4337.86929433,5473.02895163,-29403986.5454,51977986629.9
5215.82013151,6281723.30179,-1570905.8273,-1981989.88714,2864.01368212,4423.4541862,5581.01021138,-29403986.5452,51977986630
5255.34755443,6388594.2529,-1394541.47462,-1759473.45274,2542.51326092,4498.7002913,5675.94716862,-29403986.5451,51977986630.1
5294.14529009,6481034.79373,-1218711.15416,-1537630.79932,2221.9716137,4563.78809407,5758.06753804,-29403986.545,51977986630.2
5332.13898765,6559425.42194,-1044240.47015,-1317503.58017,1903.89620679,4618.98468231,5827.70830058,-29403986.5449,51977986630.3
5369.24821479,6624259.28801,-871961.086168,-1100141.09358,1589.80555444,4664.63661782,5885.30670841,-29403986.5448,51977986630.4
5405.38096791,6676136.42897,-702731.335473,-886626.286616,1281.26674159,4701.16587107,5931.39515577,-29403986.5448,51977986630.5
5440.42564347,6715763.57214,-537469.848912,-678118.182944,979.956688059,4729.06967386,5966.60099305,-29403986.5447,51977986630.5
5474.23793271,6743961.8341,-377213.882301,-475925.473708,687.768452342,4748.92592792,5991.65335078,-29403986.5446,51977986630.6
5506.61641804,6761687.55544,-223231.508912,-281648.0692,407.015750233,4761.40786082,6007.40163075,-29403986.5446,51977986630.6
5537.24850036,6770080.2087,-77274.5018938,-97496.1570741,140.893991573,4767.3177438,6014.85804737,-29403986.5446,51977986630.6
5553.45589696,6771222.00336,-0.00515924474166,-0.00650934794976,9.341016181e-06,4768.12176634,6015.87247134,-29403986.5446,51977986630.6
